column,count,min,p1,p25,median,p75,p99,max,zero_count
property_value,18519810,0.01,100.0,65000.0,160000.0,293000.0,8269785.0,14149999600.0,0
building_real_surface,18519810,0.0,0.0,0.0,0.0,55.0,258.0,303623.0,11982124
land_surface,18519810,0.0,0.0,0.0,241.0,962.0,28258.0,12396153.0,6128624
lot_1_surface,18519810,0.0,0.0,0.0,0.0,0.0,92.3,9614.0,16824695
lot_2_surface,18519810,0.0,0.0,0.0,0.0,0.0,69.01,8705.0,17992024
lot_3_surface,18519810,0.0,0.0,0.0,0.0,0.0,0.0,6840.0,18470205
lot_4_surface,18519810,0.0,0.0,0.0,0.0,0.0,0.0,6881.0,18508158
lot_5_surface,18519810,0.0,0.0,0.0,0.0,0.0,0.0,6869.4,18515728
lots_count,18519810,0.0,0.0,0.0,0.0,1.0,3.0,236.0,12465410
main_rooms_count,18519810,0.0,0.0,0.0,0.0,2.0,7.0,198.0,12582286
